anio,mes,valor
2020,1,2.3
2020,2,2
2020,3,3.3
2020,4,1.5
2020,5,1.5
2020,6,2.2
2020,7,1.9
2020,8,2.7
2020,9,2.8
2020,10,3.8
2020,11,3.2
2020,12,4
2021,1,4
2021,2,3.6
2021,3,4.8
2021,4,4.1
2021,5,3.3
2021,6,3.2
2021,7,3
2021,8,2.5
2021,9,3.5
2021,10,3.5
2021,11,2.5
2021,12,3.8
2022,1,3.9
2022,2,4.7
2022,3,6.7
2022,4,6
2022,5,5.1
2022,6,5.3
2022,7,7.4
2022,8,7
2022,9,6.2
2022,10,6.3
2022,11,4.9
2022,12,5.1
2023,1,6
2023,2,6.6
2023,3,7.7
2023,4,8.4
2023,5,7.8
2023,6,6
2023,7,6.3
2023,8,12.4
2023,9,12.7
2023,10,8.3
2023,11,12.8
2023,12,25.5
2024,1,20.6
2024,2,13.2
2024,3,11
2024,4,8.8
2024,5,4.2
2024,6,4.6
2024,7,4
2024,8,4.2
2024,9,3.5
2024,10,2.7
2024,11,2.4
2024,12,2.7
2025,1,2.2
2025,2,2.4
2025,3,3.7
2025,4,2.8
2025,5,1.5
2025,6,1.6
2025,7,1.9
2025,8,1.9
2025,9,2.1
2025,10,2.3
2025,11,2.5
2025,12,2.8
2026,1,2.9
2026,2,2.9
