casa,compra,venta,fecha
oficial,"1012,5","1052,5",2025-01-01
blue,1210,1230,2025-01-01
bolsa,"1165,4","1169,5",2025-01-01
contadoconliqui,"1185,2","1191,8",2025-01-01
mayorista,1029,1032,2025-01-01
cripto,"1223,02","1227,7",2025-01-01
tarjeta,"1316,25","1368,25",2025-01-01
oficial,"1012,5","1052,5",2025-01-02
blue,1210,1230,2025-01-02
bolsa,"1165,4","1169,5",2025-01-02
contadoconliqui,"1185,2","1191,8",2025-01-02
mayorista,1029,1032,2025-01-02
cripto,"1222,56","1227,77",2025-01-02
tarjeta,"1316,25","1368,25",2025-01-02
oficial,1015,1055,2025-01-03
blue,1185,1205,2025-01-03
bolsa,"1163,7","1167,1",2025-01-03
contadoconliqui,"1174,7","1179,8",2025-01-03
mayorista,"1032,5","1035,5",2025-01-03
cripto,"1196,1","1201,98",2025-01-03
tarjeta,"1319,5","1371,5",2025-01-03
oficial,1015,1055,2025-01-04
blue,1185,1205,2025-01-04
bolsa,"1163,7","1167,1",2025-01-04
contadoconliqui,"1174,7","1179,8",2025-01-04
mayorista,"1032,5","1035,5",2025-01-04
cripto,"1203,33","1206,7",2025-01-04
tarjeta,"1319,5","1371,5",2025-01-04
oficial,1015,1055,2025-01-05
blue,1185,1205,2025-01-05
bolsa,"1163,7","1167,1",2025-01-05
contadoconliqui,"1174,7","1179,8",2025-01-05
mayorista,"1032,5","1035,5",2025-01-05
cripto,"1205,5","1209,5",2025-01-05
tarjeta,"1319,5","1371,5",2025-01-05
oficial,1015,1055,2025-01-06
blue,1185,1205,2025-01-06
bolsa,"1165,1",1170,2025-01-06
contadoconliqui,1183,"1186,4",2025-01-06
mayorista,"1032,5","1035,5",2025-01-06
cripto,"1201,6","1205,33",2025-01-06
tarjeta,"1319,5","1371,5",2025-01-06
oficial,"1015,5","1055,5",2025-01-07
blue,1195,1215,2025-01-07
bolsa,"1164,6","1172,4",2025-01-07
contadoconliqui,"1185,9","1194,1",2025-01-07
mayorista,1033,1036,2025-01-07
cripto,1209,1209,2025-01-07
tarjeta,"1320,15","1372,15",2025-01-07
oficial,1016,1056,2025-01-08
blue,1200,1220,2025-01-08
bolsa,"1161,2","1181,9",2025-01-08
contadoconliqui,"1188,8","1192,2",2025-01-08
mayorista,"1033,5","1036,5",2025-01-08
cripto,1207,"1209,5",2025-01-08
tarjeta,"1320,8","1372,8",2025-01-08
oficial,1017,1057,2025-01-09
blue,1200,1220,2025-01-09
bolsa,"1163,2","1167,6",2025-01-09
contadoconliqui,"1183,2","1188,9",2025-01-09
mayorista,"1034,5","1037,5",2025-01-09
cripto,1206,"1209,5",2025-01-09
tarjeta,"1322,1","1374,1",2025-01-09
oficial,1019,1059,2025-01-10
blue,1205,1225,2025-01-10
bolsa,"1161,8","1166,7",2025-01-10
contadoconliqui,1188,"1198,8",2025-01-10
mayorista,"1036,5","1039,5",2025-01-10
cripto,1213,"1214,13",2025-01-10
tarjeta,"1324,7","1376,7",2025-01-10
oficial,1019,1059,2025-01-11
blue,1205,1225,2025-01-11
bolsa,"1161,8","1166,7",2025-01-11
contadoconliqui,1188,"1198,8",2025-01-11
mayorista,"1036,5","1039,5",2025-01-11
cripto,"1224,5",1230,2025-01-11
tarjeta,"1324,7","1376,7",2025-01-11
oficial,1019,1059,2025-01-12
blue,1205,1225,2025-01-12
bolsa,"1161,8","1166,7",2025-01-12
contadoconliqui,1188,"1198,8",2025-01-12
mayorista,"1036,5","1039,5",2025-01-12
cripto,"1218,7","1222,69",2025-01-12
tarjeta,"1324,7","1376,7",2025-01-12
oficial,"1019,5","1059,5",2025-01-13
blue,1230,1250,2025-01-13
bolsa,"1160,3","1162,5",2025-01-13
contadoconliqui,"1218,4","1172,2",2025-01-13
mayorista,1037,1040,2025-01-13
cripto,1218,"1220,97",2025-01-13
tarjeta,"1325,35","1377,35",2025-01-13
oficial,"1020,5","1060,5",2025-01-14
