Antigüedad,Calificacion,Empresa,Pais,CodigoCliente,PuntajeOriginal,Puesto,Tema,Dispositivo
9,baja,Mediana,Chile,10000001,1,Publicidad,caracteristicas,Movil
9,alta,Mediana,Chile,10000009,6,Publicidad,caracteristicas,Tableta
10,alta,Mediana,Chile,10000011,8,Publicidad,confiabilidad,PC
2,baja,Mediana,Chile,10000028,3,Publicidad,velocidad,Movil
29,baja,Mediana,Chile,10000029,1,Publicidad,caracteristicas,Movil
25,alta,Mediana,Chile,10000039,8,Publicidad,confiabilidad,Movil
3,baja,Mediana,Chile,10000053,2,Publicidad,confiabilidad,Movil
34,baja,Mediana,Chile,10000054,2,Publicidad,caracteristicas,PC
18,baja,Mediana,Chile,10000069,2,Publicidad,precio,PC
14,baja,Mediana,Chile,10000080,3,Publicidad,confiabilidad,PC
0,baja,Mediana,Chile,10000082,3,Publicidad,caracteristicas,Tableta
10,baja,Mediana,Chile,10000087,3,Publicidad,velocidad,Tableta
27,baja,Mediana,Chile,10000105,5,Publicidad,seguridad,PC
4,alta,Mediana,Chile,10000122,9,Publicidad,caracteristicas,Movil
10,baja,Mediana,Chile,10000123,5,Publicidad,confiabilidad,Movil
1,alta,Mediana,Chile,10000127,10,Publicidad,confiabilidad,PC
24,baja,Mediana,Chile,10000128,4,Publicidad,caracteristicas,Tableta
26,baja,Mediana,Chile,10000129,3,Publicidad,confiabilidad,Movil
21,alta,Mediana,Chile,10000132,10,Publicidad,caracteristicas,Tableta
22,baja,Mediana,Chile,10000137,2,Publicidad,soporte,PC
,alta,Mediana,Chile,10000147,8,Publicidad,uso,Movil
12,baja,Mediana,Chile,10000158,4,Publicidad,servicios,Movil
,baja,Mediana,Chile,10000161,1,Publicidad,confiabilidad,Tableta
26,alta,Mediana,Chile,10000183,10,Publicidad,precio,PC
9,alta,Mediana,Chile,10000190,9,Publicidad,precio,Movil
30,alta,Mediana,Chile,10000241,10,Publicidad,precio,Movil
23,baja,Mediana,Chile,10000247,1,Publicidad,servicios,Movil
29,alta,Mediana,Chile,10000252,10,Publicidad,caracteristicas,Movil
29,baja,Mediana,Chile,10000272,3,Publicidad,servicios,PC
26,alta,Mediana,Chile,10000278,7,Publicidad,precio,PC
26,alta,Mediana,Chile,10000279,9,Publicidad,confiabilidad,PC
43,baja,Mediana,Chile,10000286,3,Publicidad,uso,Tableta
18,baja,Mediana,Chile,10000290,2,Publicidad,precio,Tableta
41,baja,Mediana,Chile,10000291,2,Publicidad,uso,PC
3,alta,Mediana,Chile,10000297,6,Publicidad,servicios,Movil
3,baja,Mediana,Chile,10000311,1,Publicidad,caracteristicas,Movil
6,baja,Mediana,Chile,10000318,5,Publicidad,confiabilidad,PC
2,baja,Mediana,Chile,10000320,2,Publicidad,precio,Tableta
3,alta,Mediana,Chile,10000326,7,Publicidad,precio,Movil
2,alta,Mediana,Chile,10000330,10,Publicidad,confiabilidad,Tableta
2,alta,Mediana,Chile,10000332,9,Publicidad,confiabilidad,PC
20,alta,Mediana,Chile,10000333,6,Publicidad,servicios,Movil
3,alta,Mediana,Chile,10000334,10,Publicidad,precio,Movil
23,baja,Mediana,Chile,10000349,3,Publicidad,confiabilidad,Tableta
26,baja,Mediana,Chile,10000350,1,Publicidad,precio,PC
37,baja,Mediana,Chile,10000363,5,Publicidad,uso,Movil
47,alta,Mediana,Chile,10000367,6,Publicidad,confiabilidad,Movil
17,baja,Mediana,Chile,10000369,1,Publicidad,precio,Movil
20,alta,Mediana,Chile,10000370,7,Publicidad,confiabilidad,Movil
2,alta,Mediana,Chile,10000387,10,Publicidad,caracteristicas,PC
19,baja,Mediana,Chile,10000388,2,Publicidad,confiabilidad,PC
13,baja,Mediana,Chile,10000402,4,Publicidad,servicios,PC
29,alta,Mediana,Chile,10000404,10,Publicidad,confiabilidad,Tableta
12,baja,Mediana,Chile,10000414,4,Publicidad,confiabilidad,Tableta
47,baja,Mediana,Chile,10000435,4,Publicidad,soporte,PC
28,alta,Mediana,Chile,10000439,9,Publicidad,servicios,Movil
21,baja,Mediana,Chile,10000447,4,Publicidad,confiabilidad,Movil
17,alta,Mediana,Chile,10000448,7,Publicidad,precio,PC
18,baja,Mediana,Chile,10000455,2,Publicidad,seguridad,Tableta
27,baja,Mediana,Chile,10000456,2,Publicidad,confiabilidad,Movil
26,alta,Mediana,Chile,10000466,10,Publicidad,velocidad,Tableta
29,baja,Mediana,Chile,10000467,5,Publicidad,confiabilidad,PC
19,alta,Mediana,Chile,10000468,6,Publicidad,velocidad,Movil
4,baja,Mediana,Chile,10000473,4,Publicidad,servicios,Movil
10,baja,Mediana,Chile,10000484,3,Publicidad,confiabilidad,Tableta
6,alta,Mediana,Chile,10000488,10,Publicidad,caracteristicas,PC
3,baja,Mediana,Chile,10000496,1,Publicidad,precio,Movil
,alta,Mediana,Chile,10000498,7,Publicidad,confiabilidad,Movil
12,alta,Mediana,Chile,10000520,8,Publicidad,servicios,Movil
24,alta,Mediana,Chile,10000531,10,Publicidad,confiabilidad,Movil
7,alta,Mediana,Chile,10000532,10,Publicidad,navegacion,PC
