Fecha,Mes,Ubicacion,Limon,Naranja,Temperatura,Volantes,Precio,Ciudad,Latitud,Longitud
1/1/2024,Enero,Playa,97,67,24,90,100,Mar del Plata,-38.0174516,-57.7653471
1/2/2024,Enero,Parque,98,67,25,90,100,Buenos Aires,-34.6157129,-58.5981124
1/3/2024,Enero,Parque,110,77,25,104,100,Buenos Aires,-34.6157129,-58.5981124
1/4/2024,Enero,Playa,134,99,27,98,100,Mar del Plata,-38.0174516,-57.7653471
1/5/2024,Enero,Playa,159,118,28,135,100,Mar del Plata,-38.0174516,-57.7653471
1/6/2024,Enero,Playa,103,69,30,90,100,Mar del Plata,-38.0174516,-57.7653471
1/7/2024,Enero,Playa,103,69,30,90,100,Mar del Plata,-38.0174516,-57.7653471
1/8/2024,Enero,Playa,143,101,30,135,100,Mar del Plata,-38.0174516,-57.7653471
1/9/2024,Enero,Playa,123,86,30,113,100,Mar del Plata,-38.0174516,-57.7653471
1/10/2024,Enero,Playa,134,95,29,126,100,Mar del Plata,-38.0174516,-57.7653471
1/11/2024,Enero,Playa,140,98,30,131,100,Mar del Plata,-38.0174516,-57.7653471
1/12/2024,Enero,Playa,162,120,31,135,100,Mar del Plata,-38.0174516,-57.7653471
1/13/2024,Enero,Playa,130,95,31,99,100,Mar del Plata,-38.0174516,-57.7653471
1/14/2024,Enero,Playa,109,75,28,99,100,Mar del Plata,-38.0174516,-57.7653471
1/15/2024,Enero,Playa,122,85,28,113,100,Mar del Plata,-38.0174516,-57.7653471
1/16/2024,Enero,Playa,98,62,27,108,150,Mar del Plata,-38.0174516,-57.7653471
1/17/2024,Enero,Playa,81,50,26,90,150,Mar del Plata,-38.0174516,-57.7653471
1/18/2024,Enero,Playa,115,76,28,126,150,Mar del Plata,-38.0174516,-57.7653471
1/19/2024,Enero,Parque,131,92,30,122,150,Buenos Aires,-34.6157129,-58.5981124
1/20/2024,Enero,Parque,122,85,28,113,150,Buenos Aires,-34.6157129,-58.5981124
1/21/2024,Enero,Parque,71,42,24,88,150,Buenos Aires,-34.6157129,-58.5981124
1/22/2024,Enero,Parque,83,50,28,90,150,Buenos Aires,-34.6157129,-58.5981124
1/23/2024,Enero,Parque,112,75,29,108,150,Buenos Aires,-34.6157129,-58.5981124
1/24/2024,Enero,Parque,120,82,30,117,150,Buenos Aires,-34.6157129,-58.5981124
1/25/2024,Enero,Parque,121,82,30,117,150,Buenos Aires,-34.6157129,-58.5981124
1/26/2024,Enero,Parque,156,113,31,135,150,Buenos Aires,-34.6157129,-58.5981124
1/27/2024,Enero,Parque,176,129,31,158,80,Buenos Aires,-34.6157129,-58.5981124
1/28/2024,Enero,Parque,104,68,29,99,80,Buenos Aires,-34.6157129,-58.5981124
1/29/2024,Enero,Parque,96,63,30,90,80,Buenos Aires,-34.6157129,-58.5981124
1/30/2024,Enero,Parque,100,66,30,95,80,Buenos Aires,-34.6157129,-58.5981124
1/31/2024,Enero,Playa,88,57,30,81,80,Mar del Plata,-38.0174516,-57.7653471
2/1/2024,Febrero,Playa,76,47,30,68,80,Mar del Plata,-38.0174516,-57.7653471
2/2/2024,Febrero,Playa,146,103,30,134,80,Mar del Plata,-38.0174516,-57.7653471
2/3/2024,Febrero,Playa,126,122,30,112,80,Mar del Plata,-38.0174516,-57.7653471
2/4/2024,Febrero,Playa,137,73,29,125,80,Mar del Plata,-38.0174516,-57.7653471
2/5/2024,Febrero,Playa,143,73,30,130,80,Mar del Plata,-38.0174516,-57.7653471
2/6/2024,Febrero,Playa,165,105,31,134,80,Mar del Plata,-38.0174516,-57.7653471
2/7/2024,Febrero,Playa,133,90,31,98,80,Mar del Plata,-38.0174516,-57.7653471
2/8/2024,Febrero,Playa,112,99,28,98,90,Mar del Plata,-38.0174516,-57.7653471
2/9/2024,Febrero,Playa,125,102,28,112,90,Mar del Plata,-38.0174516,-57.7653471
2/10/2024,Febrero,Parque,101,124,27,107,90,Buenos Aires,-34.6157129,-58.5981124
2/11/2024,Febrero,Parque,84,99,26,89,90,Buenos Aires,-34.6157129,-58.5981124
2/12/2024,Febrero,Parque,118,79,28,125,90,Buenos Aires,-34.6157129,-58.5981124
2/13/2024,Febrero,Parque,134,89,30,121,90,Buenos Aires,-34.6157129,-58.5981124
2/14/2024,Febrero,Parque,125,66,28,112,90,Buenos Aires,-34.6157129,-58.5981124
2/15/2024,Febrero,Parque,74,54,24,87,90,Buenos Aires,-34.6157129,-58.5981124
2/16/2024,Febrero,Parque,86,80,28,89,80,Buenos Aires,-34.6157129,-58.5981124
2/17/2024,Febrero,Parque,115,96,29,107,80,Buenos Aires,-34.6157129,-58.5981124
2/18/2024,Febrero,Parque,123,89,30,116,80,Buenos Aires,-34.6157129,-58.5981124
2/19/2024,Febrero,Parque,124,46,30,116,80,Buenos Aires,-34.6157129,-58.5981124
2/20/2024,Febrero,Parque,159,54,31,134,80,Buenos Aires,-34.6157129,-58.5981124
2/21/2024,Febrero,Playa,179,79,31,157,80,Mar del Plata,-38.0174516,-57.7653471
2/22/2024,Febrero,Playa,107,86,29,98,80,Mar del Plata,-38.0174516,-57.7653471
2/23/2024,Febrero,Playa,99,86,30,89,80,Mar del Plata,-38.0174516,-57.7653471
2/24/2024,Febrero,Playa,103,117,30,94,80,Mar del Plata,-38.0174516,-57.7653471
2/25/2024,Febrero,Playa,91,133,30,80,80,Mar del Plata,-38.0174516,-57.7653471
2/26/2024,Febrero,Playa,79,72,30,67,80,Mar del Plata,-38.0174516,-57.7653471
2/27/2024,Febrero,Playa,149,67,28,133,80,Mar del Plata,-38.0174516,-57.7653471
2/28/2024,Febrero,Playa,129,70,28,111,80,Mar del Plata,-38.0174516,-57.7653471
2/29/2024,Febrero,Playa,140,61,26,124,80,Mar del Plata,-38.0174516,-57.7653471
