fecha,venta,
2011-01-03,"$4,00",
2011-01-04,"$4,00",
2011-01-05,"$4,00",
2011-01-06,"$4,00",
2011-01-07,"$4,00",
2011-01-08,"$4,00",
2011-01-09,"$4,00",
2011-01-10,"$4,00",
2011-01-11,"$4,00",
2011-01-12,"$4,00",
2011-01-13,"$4,00",
2011-01-14,"$4,00",
2011-01-15,"$4,00",
2011-01-16,"$4,00",
2011-01-17,"$4,00",
2011-01-18,"$4,00",
2011-01-19,"$4,00",
2011-01-20,"$4,00",
2011-01-21,"$4,00",
2011-01-22,"$4,00",
2011-01-23,"$4,00",
2011-01-24,"$4,00",
2011-01-25,"$4,00",
2011-01-26,"$4,00",
2011-01-27,"$4,00",
2011-01-28,"$4,00",
2011-01-29,"$4,00",
2011-01-30,"$4,00",
2011-01-31,"$4,00",
2011-02-01,"$4,00",
2011-02-02,"$4,00",
2011-02-03,"$4,00",
2011-02-04,"$4,00",
2011-02-05,"$4,00",
2011-02-06,"$4,00",
2011-02-07,"$4,00",
2011-02-08,"$4,00",
2011-02-09,"$4,00",
2011-02-10,"$4,00",
2011-02-11,"$4,00",
2011-02-12,"$4,00",
2011-02-13,"$4,00",
2011-02-14,"$4,00",
2011-02-15,"$4,00",
2011-02-16,"$4,00",
2011-02-17,"$4,00",
2011-02-18,"$4,00",
2011-02-19,"$4,00",
2011-02-20,"$4,00",
2011-02-21,"$4,00",
2011-02-22,"$4,00",
2011-02-23,"$4,00",
2011-02-24,"$4,00",
2011-02-25,"$4,00",
2011-02-26,"$4,00",
2011-02-27,"$4,00",
2011-02-28,"$4,00",
2011-03-01,"$4,00",
2011-03-02,"$4,00",
2011-03-03,"$4,00",
2011-03-04,"$4,00",
2011-03-05,"$4,00",
2011-03-06,"$4,00",
2011-03-07,"$4,00",
2011-03-08,"$4,00",
2011-03-09,"$4,00",
2011-03-10,"$4,00",
2011-03-11,"$4,00",
2011-03-12,"$4,00",
2011-03-13,"$4,00",
2011-03-14,"$4,00",
2011-03-15,"$4,00",
2011-03-16,"$4,00",
2011-03-17,"$4,00",
2011-03-18,"$4,00",
2011-03-19,"$4,00",
