anio,poblacion mundial
1800,1000000000
1810,1070000000
1820,1150000000
1830,1240000000
1840,1330000000
1850,1430000000
1860,1540000000
1870,1650000000
1880,1770000000
1890,1900000000
1900,2050000000
1910,2210000000
1920,1860000000
1930,2070000000
1940,2300000000
1950,2530000000
1960,3030000000
1970,3700000000
1980,4450000000
1990,5320000000
2000,6140000000
2010,6950000000
2020,7790000000
2030,8550000000
2040,9180000000
2050,9700000000
2060,10100000000
2070,10350000000
2080,10450000000
2090,10400000000
2100,10300000000
