categoria,curso,detalle,horario
Trayecto Formativo Programador,Técnicas de Programación,Python,MA-JU 19:00-22:30
Trayecto Formativo Programador,Base de Datos,SQL,VI 18:30-22:30
Trayecto Formativo Programador,Programación Orientada a Objetos,Java,LU-MI-VI 10:00-13:30
Trayecto Formativo Programador,Programación Orientada a Objetos,Java,LU-MI-VI 19:00-22:30
Especialización Profesional en Programación Segura,Incidentes de Ciberseguridad,,MI-JU-VI 10:00-13:30
Especialización Profesional en Programación Segura,Programación Segura,,MI-JU-VI 10:00-13:30
Especialización Profesional en Programación Web,Desarrollo de Aplicaciones Web,,MI 19:00-22:30
Especialización Profesional en Programación Web,Interface Gráfica Web,,JU 19:00-22:30
Especialización Profesional en Programación Web,Gestión de Base de Datos,,VI 19:00-22:30
Instalador y Soporte de Sistemas Informáticos,Tecnología de Redes,Organización del Computador,LU-MA-JU 19:00-22:30
Instalador y Administrador de Redes Informáticas,Mantenimiento e Instalación de Sistemas Informáticos,,LU-MI-VI 10:00-13:30
Instalador y Administrador de Redes Informáticas,Mantenimiento e Instalación de Sistemas Informáticos,,LU-MI-VI 19:00-22:30
Operador en Análisis de Datos,Herramientas Digitales de Procesamiento y Análisis de Datos,,LU-MI-VI 19:00-22:30
Módulo Común,Relaciones Laborales y Orientación Profesional,,"5,6 y 7 de Agosto 19:00-22:30"
Cursos,Informática Básica,"Windows, Internet",MA-JU 10:00-13:30
Cursos,Herramientas Digitales,Herramientas de trabajo colaborativo de Google,
Cursos,Informática Básica,"Windows, Internet",LU-MI 15:00-18:30
Cursos,Herramientas Digitales,Herramientas de trabajo colaborativo de Google,
Cursos,Informática Básica,"Windows, Internet",MAR 19:00-22:30
Cursos,Diseño e Impresión 3D,SolidWorks,MA-JU 15:00-18:30
Cursos,Diseño e Impresión 3D,Blender,MA-JU 19:00-22:30
Cursos,Taller de Microemprendimientos,Bimestral inicio Agosto,MA-JU 10:00-13:30
Cursos,Taller de Microemprendimientos,Bimestral inicio Octubre,MA-JU 10:00-13:30
Cursos,Taller de Microemprendimientos,,MI 15:00-18:30
Cursos,Auxiliar en Electrónica Analógica y Digital,,LU 10:00-14:00
Cursos,Auxiliar en Electrónica Analógica y Digital,,LU 18:30-22:30
Cursos,Programación Inicial de Sistemas Embebidos,,MI 10:00-13:30
Cursos,Programación Inicial de Sistemas Embebidos,,MI 19:00-22:30
Capacitación Laboral,Operador/a en Gestión y Procesamiento de Datos,Word - Excel,LU-JU 10:00-13:00
Capacitación Laboral,Operador/a en Gestión y Procesamiento de Datos,Word - Excel,LU-JU 15:00-18:00
Capacitación Laboral,Operador/a en Gestión y Procesamiento de Datos,Word - Excel,LU-JU 19:00-22:00
Capacitación Laboral,Reparador/a de Máquinas Impresoras 3D,,MA-JU 10:00-13:30
Capacitación Laboral,Operador/a de Robótica Industrial,,LU-MI 19:00-22:00
Microcredenciales,Uso Avanzado de Planillas de Cálculo con Aplicación Profesional,Excel Avanzado,MAR 10:00-13:00
Microcredenciales,Uso Avanzado de Planillas de Cálculo con Aplicación Profesional,Excel Avanzado,MAR 15:00-18:00
Microcredenciales,Uso Avanzado de Planillas de Cálculo con Aplicación Profesional,Excel Avanzado,MAR 19:00-22:00
Microcredenciales,Alfabetización en IA,,VI 15:00-18:30
Microcredenciales,Gestión de Datos con SQL,,VI 15:00-18:00
