Fecha,Canal,Subcriptores,Título,Link,Visualizaciones,Duración,Antiguedad,Antiguedad en dias,Cantidad de Visualizaciones x día,Conclusiones,Backstage,Sponsors
09/03/2026,Locos X el asado,2850000,Provoleta Argentina: La receta perfecta | Locos X el Asado,https://www.youtube.com/watch?v=fYafRJbeUDM,644000,21:37,1 año,365,"1764,38","Buen Ritmo, efectos de edición, captura muy bien los sonidos y la visual del producto, deja muy en claro la calidad a un target de publico muy argentino",Equipo de dirección y edición,Quesos Santa Rosa
11/03/2026,Recorrida Gastronimica,17900,Promociona Carlos Kenn y Parrilla los Girasoles,https://www.youtube.com/shorts/7fAxzfpBs9g,62000,1:25,5 Meses,150,"413,33","Formato Reel, Directo a vender el producto, Escenas muy dinamicas, no da vueltas no es reiterativo. Problemas con subtitulos, muy veloz la visualización de subtitulos, dificultad para personas con problemas auditivos, subtitulos inferiores invadidos, abre debate a comentarios","Formato vertical, filmación unipersonal con celu, voz en off",Pariila los Girsoles en Carlos Keen
11/03/2026,Antonio Off-Grid,315000,"
Hot Tent Camping by the River - Catch & Cook",https://www.youtube.com/watch?v=eV3x4E-hp5w,6000000,17:37,18 Meses,540,"11111,11","Idioma universal, no habla, la comunicación es gráfica, difunde a la comunidad mundial sin segmentar. El exito comercial es la cantidad de vializaciones y monetización del video","Filmación con varias camaras y algún tripode, y usa un drone.",No se encontro sponsors
16/03/2026,Locos X el asado,2850000,3 recetas de Hamburguesa que van a dar que hablar ¿Cuál será mejor?,https://www.youtube.com/watch?v=yXLyoGbVHms,307000,15:24,1 año,360,"852,78","Desde lo visual hace sentir el gusto. Buen ritmo y humor,  dudosa higiene, buscaron monetizar con la visualización del video y sponsors secundarios, no produce un proceso de conversión tan claro como el video de provoletas.",Equipo de dirección y edición,"Sponsors de productos secundarios, cerveza y condimentos."
16/03/2026,Atik Ailesi,4400000,CAMPING CON TIENDA TRIÁNGULO AL BORDE DEL acantilado,https://www.youtube.com/watch?v=aqCTwOsvuL0,2200000,32:21:00,1 año,360,"6111,11","Aprendimos sobre materiales de campamento novedoso. Es relajante, al terminar hicieron limpieza del lugar y sacaron basura de otros campamentos antiguos.","Edición Prolija y simple, hay drone.",No se detectaron sponsors
18/03/2026,Ale Temporini,13500,Mix de harina SIN GLUTEN,https://www.youtube.com/watch?v=CoJHJG-S4nE,1200,4:00,7 meses,210,"5,71","Hace mensión a otros videos del canal y promueve la subscripción, promueve sus cursos y enseña la preparación, usa el humor, transformo un error en humor.","Edición Simple y prolija, no se luce el sonido, si hay efectos en las recetas e ingredientes",Sponsors de sus capacitaciones o cursos
18/03/2026,Anita Sin Tacc Cocina,5300,"Que hay en el barrio chino, que sea apto para celiacos",https://www.youtube.com/shorts/SRkqx3vpbdM,990,0:59,1 año,360,"2,75","Alta Velocidad, adecuada para el formato. Esta pensado para convertir y ofrecer otros contenidos, funciona por repetición. ","Formato reel, video corto, edición rápida, voz en off",No se detectaron sponsors
18/03/2026,Sir Chandler,366000,Ezeiza sin gluten - las opciones para celíacos en el aeropuerto más internacional de la Argentina,https://www.youtube.com/watch?v=xRUjDdx1HQg,24000,13:29,3 años,1095,"21,92",Habla de la transformación de Ezeiza para ofrecer gastronomia sin TACC,"Edición Ràpida, para youtube, formato vlog",No se detectaron sponsors
18/03/2026,"Soy Celíaco, No Extraterrestre",528000,Sánguche de Milanesa Sin TACC: ¡El pan NO se rompe y es súper elástico!,https://www.youtube.com/watch?v=iGbRTkkRios,8800,6:19,4 días,4,"2200,00","Alto sanguche!!!! hay tips, promueve muy bien su marca (Brandind), hay una trayectoria, hay merchandasing","Trabajo de edición, recetas, buen sonido","No se detectaron sponsors, claramente vende su marca"
25/03/2026,Rosy Wanderlust,60000,LA HABANA EN LAS CALLES: TENGO MIEDO!! CUBA SE APAGA,https://www.youtube.com/watch?v=Q-b7lY0C7rk,76000,19:27,2 días,2,"38000,00","Video Social sobre actualidad de Cuba, Oportunidad de crear contenido con muy pocos recursos. La creador muestra buen nivel cultural y habla un español muy neutro.",Edición económica y desprolija,No se detectaron sponsors
